i;x_i;y_i;y(x_i);|y_i-y(x)|;p(k);;;;
k=1;;;;;;;;;
73;1,73;1,8375;1,83755;4,70E-05;2;;;;
74;1,74;1,82823;1,82828;4,80E-05;2;;;;
75;1,75;1,81831;1,81836;4,89E-05;2;;;;
76;1,76;1,80771;1,80776;4,99E-05;2;;;;
77;1,77;1,79644;1,79649;5,08E-05;2;;;;
78;1,78;1,78447;1,78452;5,18E-05;2;;;;
79;1,79;1,7718;1,77185;5,27E-05;2;;;;
80;1,8;1,75842;1,75847;5,37E-05;2;;;;
81;1,81;1,74431;1,74436;5,47E-05;2;;;;
82;1,82;1,72946;1,72951;5,57E-05;2;;;;
83;1,83;1,71386;1,71391;5,67E-05;2;;;;
84;1,84;1,69749;1,69755;5,77E-05;2;;;;
85;1,85;1,68036;1,68042;5,87E-05;2;;;;
86;1,86;1,66243;1,66249;5,98E-05;2;;;;
87;1,87;1,64371;1,64377;6,08E-05;2;;;;
88;1,88;1,62418;1,62424;6,18E-05;2;;;;
89;1,89;1,60382;1,60388;6,29E-05;2;;;;
90;1,9;1,58263;1,58269;6,39E-05;2;;;;
91;1,91;1,56058;1,56065;6,50E-05;2;;;;
92;1,92;1,53768;1,53775;6,60E-05;2;;;;
93;1,93;1,5139;1,51397;6,71E-05;2;;;;
94;1,94;1,48924;1,48931;6,82E-05;2;;;;
95;1,95;1,46367;1,46374;6,93E-05;2;;;;
96;1,96;1,43719;1,43726;7,04E-05;2;;;;
97;1,97;1,40979;1,40986;7,15E-05;2;;;;
98;1,98;1,38144;1,38152;7,26E-05;2;;;;
99;1,99;1,35215;1,35222;7,37E-05;2;;;;
100;2;1,32188;1,32196;7,48E-05;2;;;;
k=4;;;;;;;;;
0;1;1,37802;1,37802;0;p=/0;;;;
1;1,01;1,39267;1,39267;3,15E-09;13,9178;;;;3,15E-09
2;1,02;1,40723;1,40723;6,49E-12;3,99906;;;6,49E-12;
3;1,03;1,4217;1,4217;3,14E-09;12,3398;;;;3,14E-09
4;1,04;1,43607;1,43607;1,29E-11;3,99953;;;1,29E-11;
5;1,05;1,45034;1,45034;3,14E-09;11,6093;;;;3,14E-09
6;1,06;1,4645;1,4645;1,92E-11;3,99988;;;1,92E-11;
7;1,07;1,47856;1,47856;3,13E-09;11,1312;;;;3,13E-09
8;1,08;1,4925;1,4925;2,54E-11;3,99992;;;2,54E-11;
9;1,09;1,50631;1,50631;3,13E-09;10,7767;;;;3,13E-09
10;1,1;1,52001;1,52001;3,16E-11;3,99991;;;3,16E-11;
11;1,11;1,53357;1,53357;3,12E-09;10,4959;;;;3,12E-09
12;1,12;1,54699;1,54699;3,76E-11;3,99991;;;3,76E-11;
13;1,13;1,56027;1,56027;3,11E-09;10,2646;;;;3,11E-09
14;1,14;1,5734;1,5734;4,34E-11;3,99996;;;4,34E-11;
15;1,15;1,58638;1,58638;3,11E-09;10,0688;;;;3,11E-09
16;1,16;1,5992;1,5992;4,92E-11;4,00004;;;4,92E-11;
17;1,17;1,61186;1,61186;3,10E-09;9,89982;;;;3,10E-09
18;1,18;1,62434;1,62434;5,47E-11;3,99991;;;5,47E-11;
19;1,19;1,63665;1,63665;3,10E-09;9,75176;;;;3,10E-09
20;1,2;1,64877;1,64877;6,02E-11;4,00002;;;6,02E-11;
21;1,21;1,66071;1,66071;3,09E-09;9,62102;;;;3,09E-09
22;1,22;1,67245;1,67245;6,54E-11;3,99986;;;6,54E-11;
23;1,23;1,68399;1,68399;3,09E-09;9,50437;;;;3,09E-09
24;1,24;1,69532;1,69532;7,05E-11;4,00004;;;7,05E-11;
25;1,25;1,70643;1,70643;3,08E-09;9,39991;;;;3,08E-09
26;1,26;1,71733;1,71733;7,54E-11;4,00003;;;7,54E-11;
27;1,27;1,72799;1,72799;3,08E-09;9,3059;;;;3,08E-09
28;1,28;1,73842;1,73842;8,01E-11;4,00001;;;8,01E-11;
