threads = 8; r = 13; it = 104; time = 33.614836; true time = 32.321958; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; r = 14; it = 112; time = 36.279623; true time = 32.392520; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; r = 15; it = 105; time = 33.942695; true time = 32.326377; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; r = 16; it = 112; time = 36.084386; true time = 32.218201; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; r = 17; it = 102; time = 32.796756; true time = 32.153683; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; r = 18; it = 108; time = 34.739744; true time = 32.166430; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; r = 19; it = 114; time = 36.571266; true time = 32.080058; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; r = 20; it = 100; time = 32.198261; true time = 32.198261; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

threads = 8; r = 1; it = 100; time = 33.016996; true time = 33.016996; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 8; r = 2; it = 100; time = 32.691207; true time = 32.691207; total count = 1599600000; true count = 1599600000; count 1 = 1500000, count 2 = 1596600000, count 3 = 1500000
threads = 8; r = 3; it = 102; time = 33.094832; true time = 32.445914; total count = 1631592000; true count = 1599600000; count 1 = 3060000, count 2 = 1625472000, count 3 = 3060000
threads = 8; r = 4; it = 100; time = 32.454290; true time = 32.454290; total count = 1599600000; true count = 1599600000; count 1 = 4500000, count 2 = 1590600000, count 3 = 4500000
threads = 8; r = 5; it = 100; time = 33.281168; true time = 33.281168; total count = 1599600000; true count = 1599600000; count 1 = 6000000, count 2 = 1587600000, count 3 = 6000000
threads = 8; r = 6; it = 102; time = 35.093594; true time = 34.405484; total count = 1631592000; true count = 1599600000; count 1 = 7650000, count 2 = 1616292000, count 3 = 7650000
threads = 8; r = 7; it = 105; time = 35.272780; true time = 33.593124; total count = 1679580000; true count = 1599600000; count 1 = 9450000, count 2 = 1660680000, count 3 = 9450000
threads = 8; r = 8; it = 104; time = 36.361980; true time = 34.963442; total count = 1663584000; true count = 1599600000; count 1 = 10920000, count 2 = 1641744000, count 3 = 10920000
threads = 8; r = 9; it = 108; time = 36.125558; true time = 33.449591; total count = 1727568000; true count = 1599600000; count 1 = 12960000, count 2 = 1701648000, count 3 = 12960000
threads = 8; r = 10; it = 100; time = 33.536114; true time = 33.536114; total count = 1599600000; true count = 1599600000; count 1 = 13500000, count 2 = 1572600000, count 3 = 13500000
threads = 8; r = 11; it = 110; time = 36.581940; true time = 33.256309; total count = 1759560000; true count = 1599600000; count 1 = 16500000, count 2 = 1726560000, count 3 = 16500000
threads = 8; r = 12; it = 108; time = 37.483099; true time = 34.706573; total count = 1727568000; true count = 1599600000; count 1 = 17820000, count 2 = 1691928000, count 3 = 17820000
threads = 8; r = 13; it = 104; time = 34.508534; true time = 33.181283; total count = 1663584000; true count = 1599600000; count 1 = 18720000, count 2 = 1626144000, count 3 = 18720000
threads = 8; r = 14; it = 112; time = 40.217514; true time = 35.908495; total count = 1791552000; true count = 1599600000; count 1 = 21840000, count 2 = 1747872000, count 3 = 21840000
threads = 8; r = 15; it = 105; time = 34.717296; true time = 33.064092; total count = 1679580000; true count = 1599600000; count 1 = 22050000, count 2 = 1635480000, count 3 = 22050000
threads = 8; r = 16; it = 112; time = 37.388967; true time = 33.383007; total count = 1791552000; true count = 1599600000; count 1 = 25200000, count 2 = 1741152000, count 3 = 25200000
threads = 8; r = 17; it = 102; time = 33.930920; true time = 33.265608; total count = 1631592000; true count = 1599600000; count 1 = 24480000, count 2 = 1582632000, count 3 = 24480000
threads = 8; r = 18; it = 108; time = 35.236418; true time = 32.626313; total count = 1727568000; true count = 1599600000; count 1 = 27540000, count 2 = 1672488000, count 3 = 27540000
threads = 8; r = 19; it = 114; time = 36.985163; true time = 32.443126; total count = 1823544000; true count = 1599600000; count 1 = 30780000, count 2 = 1761984000, count 3 = 30780000
threads = 8; r = 20; it = 100; time = 32.486711; true time = 32.486711; total count = 1599600000; true count = 1599600000; count 1 = 28500000, count 2 = 1542600000, count 3 = 28500000

=======================================

threads = 16; r = 1; it = 100; time = 28.780454; true time = 28.780454; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 16; r = 2; it = 100; time = 28.375690; true time = 28.375690; total count = 1599600000; true count = 1599600000; count 1 = 3100000, count 2 = 1593400000, count 3 = 3100000
threads = 16; r = 3; it = 102; time = 29.744910; true time = 29.161677; total count = 1631592000; true count = 1599600000; count 1 = 6324000, count 2 = 1618944000, count 3 = 6324000
threads = 16; r = 4; it = 100; time = 30.687198; true time = 30.687198; total count = 1599600000; true count = 1599600000; count 1 = 9300000, count 2 = 1581000000, count 3 = 9300000
threads = 16; r = 5; it = 100; time = 29.954415; true time = 29.954415; total count = 1599600000; true count = 1599600000; count 1 = 12400000, count 2 = 1574800000, count 3 = 12400000
threads = 16; r = 6; it = 102; time = 29.933653; true time = 29.346718; total count = 1631592000; true count = 1599600000; count 1 = 15810000, count 2 = 1599972000, count 3 = 15810000
threads = 16; r = 7; it = 105; time = 31.505696; true time = 30.005425; total count = 1679580000; true count = 1599600000; count 1 = 19530000, count 2 = 1640520000, count 3 = 19530000
threads = 16; r = 8; it = 104; time = 30.989124; true time = 29.797235; total count = 1663584000; true count = 1599600000; count 1 = 22568000, count 2 = 1618448000, count 3 = 22568000
threads = 16; r = 9; it = 108; time = 32.151439; true time = 29.769851; total count = 1727568000; true count = 1599600000; count 1 = 26784000, count 2 = 1674000000, count 3 = 26784000
threads = 16; r = 10; it = 100; time = 29.125843; true time = 29.125843; total count = 1599600000; true count = 1599600000; count 1 = 27900000, count 2 = 1543800000, count 3 = 27900000
threads = 16; r = 11; it = 110; time = 33.325612; true time = 30.296010; total count = 1759560000; true count = 1599600000; count 1 = 34100000, count 2 = 1691360000, count 3 = 34100000
threads = 16; r = 12; it = 108; time = 31.307655; true time = 28.988569; total count = 1727568000; true count = 1599600000; count 1 = 36828000, count 2 = 1653912000, count 3 = 36828000
threads = 16; r = 13; it = 104; time = 30.348908; true time = 29.181643; total count = 1663584000; true count = 1599600000; count 1 = 38688000, count 2 = 1586208000, count 3 = 38688000
threads = 16; r = 14; it = 112; time = 32.472898; true time = 28.993659; total count = 1791552000; true count = 1599600000; count 1 = 45136000, count 2 = 1701280000, count 3 = 45136000
threads = 16; r = 15; it = 105; time = 30.968527; true time = 29.493835; total count = 1679580000; true count = 1599600000; count 1 = 45570000, count 2 = 1588440000, count 3 = 45570000
threads = 16; r = 16; it = 112; time = 32.843431; true time = 29.324492; total count = 1791552000; true count = 1599600000; count 1 = 52080000, count 2 = 1687392000, count 3 = 52080000
threads = 16; r = 17; it = 102; time = 29.401407; true time = 28.824909; total count = 1631592000; true count = 1599600000; count 1 = 50592000, count 2 = 1530408000, count 3 = 50592000
threads = 16; r = 18; it = 108; time = 31.364930; true time = 29.041602; total count = 1727568000; true count = 1599600000; count 1 = 56916000, count 2 = 1613736000, count 3 = 56916000
threads = 16; r = 19; it = 114; time = 33.370665; true time = 29.272513; total count = 1823544000; true count = 1599600000; count 1 = 63612000, count 2 = 1696320000, count 3 = 63612000
threads = 16; r = 20; it = 100; time = 28.676195; true time = 28.676195; total count = 1599600000; true count = 1599600000; count 1 = 58900000, count 2 = 1481800000, count 3 = 58900000

threads = 16; r = 1; it = 100; time = 30.625099; true time = 30.625099; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 16; r = 2; it = 100; time = 29.811149; true time = 29.811149; total count = 1599600000; true count = 1599600000; count 1 = 3100000, count 2 = 1593400000, count 3 = 3100000
threads = 16; r = 3; it = 102; time = 30.166055; true time = 29.574564; total count = 1631592000; true count = 1599600000; count 1 = 6324000, count 2 = 1618944000, count 3 = 6324000
threads = 16; r = 4; it = 100; time = 29.554529; true time = 29.554529; total count = 1599600000; true count = 1599600000; count 1 = 9300000, count 2 = 1581000000, count 3 = 9300000
threads = 16; r = 5; it = 100; time = 29.630831; true time = 29.630831; total count = 1599600000; true count = 1599600000; count 1 = 12400000, count 2 = 1574800000, count 3 = 12400000
threads = 16; r = 6; it = 102; time = 30.456788; true time = 29.859596; total count = 1631592000; true count = 1599600000; count 1 = 15810000, count 2 = 1599972000, count 3 = 15810000
threads = 16; r = 7; it = 105; time = 32.105769; true time = 30.576923; total count = 1679580000; true count = 1599600000; count 1 = 19530000, count 2 = 1640520000, count 3 = 19530000
threads = 16; r = 8; it = 104; time = 31.412604; true time = 30.204427; total count = 1663584000; true count = 1599600000; count 1 = 22568000, count 2 = 1618448000, count 3 = 22568000
threads = 16; r = 9; it = 108; time = 32.100224; true time = 29.722429; total count = 1727568000; true count = 1599600000; count 1 = 26784000, count 2 = 1674000000, count 3 = 26784000
threads = 16; r = 10; it = 100; time = 29.949515; true time = 29.949515; total count = 1599600000; true count = 1599600000; count 1 = 27900000, count 2 = 1543800000, count 3 = 27900000
threads = 16; r = 11; it = 110; time = 33.015134; true time = 30.013758; total count = 1759560000; true count = 1599600000; count 1 = 34100000, count 2 = 1691360000, count 3 = 34100000
threads = 16; r = 12; it = 108; time = 31.980258; true time = 29.611350; total count = 1727568000; true count = 1599600000; count 1 = 36828000, count 2 = 1653912000, count 3 = 36828000
threads = 16; r = 13; it = 104; time = 31.402792; true time = 30.194992; total count = 1663584000; true count = 1599600000; count 1 = 38688000, count 2 = 1586208000, count 3 = 38688000
threads = 16; r = 14; it = 112; time = 33.075516; true time = 29.531711; total count = 1791552000; true count = 1599600000; count 1 = 45136000, count 2 = 1701280000, count 3 = 45136000
threads = 16; r = 15; it = 105; time = 31.131779; true time = 29.649313; total count = 1679580000; true count = 1599600000; count 1 = 45570000, count 2 = 1588440000, count 3 = 45570000
threads = 16; r = 16; it = 112; time = 33.718063; true time = 30.105413; total count = 1791552000; true count = 1599600000; count 1 = 52080000, count 2 = 1687392000, count 3 = 52080000
threads = 16; r = 17; it = 102; time = 29.992889; true time = 29.404793; total count = 1631592000; true count = 1599600000; count 1 = 50592000, count 2 = 1530408000, count 3 = 50592000
threads = 16; r = 18; it = 108; time = 31.591450; true time = 29.251342; total count = 1727568000; true count = 1599600000; count 1 = 56916000, count 2 = 1613736000, count 3 = 56916000
threads = 16; r = 19; it = 114; time = 33.050567; true time = 28.991726; total count = 1823544000; true count = 1599600000; count 1 = 63612000, count 2 = 1696320000, count 3 = 63612000
threads = 16; r = 20; it = 100; time = 29.039621; true time = 29.039621; total count = 1599600000; true count = 1599600000; count 1 = 58900000, count 2 = 1481800000, count 3 = 58900000

=======================================

threads = 32; r = 1; it = 100; time = 27.906438; true time = 27.906438; total count = 1599600000; true count = 1599600000; count 1 = 0, count 2 = 1599600000, count 3 = 0
threads = 32; r = 2; it = 100; time = 27.452963; true time = 27.452963; total count = 1599600000; true count = 1599600000; count 1 = 6300000, count 2 = 1587000000, count 3 = 6300000
threads = 32; r = 3; it = 102; time = 28.769787; true time = 28.205673; total count = 1631592000; true count = 1599600000; count 1 = 12852000, count 2 = 1605888000, count 3 = 12852000
threads = 32; r = 4; it = 100; time = 27.338233; true time = 27.338233; total count = 1599600000; true count = 1599600000; count 1 = 18900000, count 2 = 1561800000, count 3 = 18900000
threads = 32; r = 5; it = 100; time = 27.775144; true time = 27.775144; total count = 1599600000; true count = 1599600000; count 1 = 25200000, count 2 = 1549200000, count 3 = 25200000
threads = 32; r = 6; it = 102; time = 28.799565; true time = 28.234868; total count = 1631592000; true count = 1599600000; count 1 = 32130000, count 2 = 1567332000, count 3 = 32130000
threads = 32; r = 7; it = 105; time = 28.973598; true time = 27.593903; total count = 1679580000; true count = 1599600000; count 1 = 39690000, count 2 = 1600200000, count 3 = 39690000
threads = 32; r = 8; it = 104; time = 28.906445; true time = 27.794659; total count = 1663584000; true count = 1599600000; count 1 = 45864000, count 2 = 1571856000, count 3 = 45864000
threads = 32; r = 9; it = 108; time = 30.102443; true time = 27.872633; total count = 1727568000; true count = 1599600000; count 1 = 54432000, count 2 = 1618704000, count 3 = 54432000
threads = 32; r = 10; it = 100; time = 27.681508; true time = 27.681508; total count = 1599600000; true count = 1599600000; count 1 = 56700000, count 2 = 1486200000, count 3 = 56700000
